-80, 0
-90, 15
-100, 0
-70, 0
-90, 15
-110, 0
-50, 0
-90, 45
-130, 0
-20, 0
-20, 15
-90, 75
-160, 15
-160, 0
-20, 45
-50, 75
-130, 75
-160, 45
-10, 0
-10, 15
-20, 60
-30, 75
-150, 75
-160, 60
-170, 15
-170, 0
-10, 60
-170, 60
0, 0
0, 15
0, 15
0, 30
0, 45
0, 45
0, 60
0, 75
-180, 75
-180, 60
-180, 45
-180, 45
-180, 30
-180, 15
-180, 15
-180, 0
10, 60
170, 60
10, 0
10, 15
20, 60
30, 75
150, 75
160, 60
170, 15
170, 0
20, 45
50, 75
130, 75
160, 45
20, 0
20, 15
90, 75
160, 15
160, 0
50, 0
90, 45
130, 0
70, 0
90, 15
110, 0
80, 0
90, 15
100, 0
